track_name,artists_name,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts
If We Ever Broke Up,Mae Stephens,4,27,9,444
You Proof,Morgan Wallen,9,88,0,14
LA INOCENTE,"Feid, Mora",37,57,8,85
Malas Decisiones,Kenia OS,2,2,0,0
Murder In My Mind,Kordhell,20,68,0,22
Gangsta's Paradise,"Coolio, L.V.",17,0,0,
CAIRO,"Karol G, Ovy On The Drums",26,66,1,16
I Love You So,The Walters,7,19,0,6
Dark Red,Steve Lacy,7,53,0,10
Say You Won't Let Go,James Arthur,16,37,0,13
The Hills,The Weeknd,4,94,0,18
Heart To Heart,Mac DeMarco,0,27,1,1
Peaches (from The Super Mario Bros. Movie),Jack Black,0,0,0,0
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",16,8,2,0
LOKERA,"Brray, Rauw Alejandro, Lyanno",30,64,6,3
Low,SZA,0,71,0,9
Numb,Linkin Park,5,0,0,0
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",0,18,2,0
on the street (with J. Cole),"j-hope, J. Cole",2,82,0,9
One Thing At A Time,Morgan Wallen,4,58,0,21
Miss You,"Robin Schulz, Oliver Tree",10,16,3,165
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,4,20,0,0
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,6,101,0,66
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",0,3,0,19
Everything I Love,Morgan Wallen,0,54,0,103
Heaven,Niall Horan,2,6,0,150
LET GO,Central Cee,20,23,0,8
Sial,Mahalini,4,6,0,23
I Wrote The Book,Morgan Wallen,0,17,0,0
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",0,101,0,48
SPIT IN MY FACE!,ThxSoMch,14,3,0,0
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",15,15,2,47
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",0,35,0,0
Red Ruby Da Sleeze,Nicki Minaj,0,11,0,21
Kahani Suno 2.0,Kaifi Khalil,6,10,0,1
Nobody Gets Me,SZA,6,100,13,2
PERO Tï¿,"Karol G, Quevedo",11,15,3,1
Hype Boy,NewJeans,17,119,2,7
Bloody Mary,Lady Gaga,0,26,3,734
Monotonï¿½,"Ozuna, Shakira",15,34,4,19
ýýý98 Braves,Morgan Wallen,0,15,0,0
WANDA,Quevedo,22,24,1,7
Thought You Should Know,Morgan Wallen,4,53,0,61
In The End,Linkin Park,6,0,2,0
Zona De Perigo,Leo Santana,4,1,2,0
Lovezinho,Treyce,0,2,0,4
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",14,21,15,38
Neverita,Bad Bunny,30,64,6,0
Vista Al Mar,Quevedo,34,19,3,4
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",4,1,0,1
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",7,88,21,10
Revenge,XXXTENTACION,11,0,0,2
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",6,69,2,6
LA CANCIï¿½,"J Balvin, Bad Bunny",31,109,3,5
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",15,59,5,52
Love Again,The Kid Laroi,0,4,0,0
After Hours,The Weeknd,6,115,1,221
About Damn Time,Lizzo,2,0,0,0
Born With A Beer In My Hand,Morgan Wallen,0,9,0,0
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,14,94,0,23
Besos Moja2,"Wisin & Yandel, ROSALï¿½",13,7,3,1
Maan Meri Jaan,King,6,80,0,8
Moscow Mule,Bad Bunny,33,113,9,2
My Universe,"Coldplay, BTS",13,0,0,0
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,0,10,0,0
LLYLM,ROSALï¿½,0,41,1,59
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",0,1,0,9
TRUSTFALL,P!nk,16,24,7,451
ANTIFRAGILE,LE SSERAFIM,12,95,0,3
Boy's a liar,PinkPantheress,0,0,13,0
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,40,1,15
Shirt,SZA,0,95,0,2
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,0,31,1,41
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,0,17,0,192
"Sex, Drugs, Etc.",Beach Weather,16,60,12,124
Boy With Luv (feat. Halsey),"Halsey, BTS",0,92,0,1
"Hey, Mickey!",Baby Tate,0,1,4,3
Calm Down,Rï¿½ï,10,44,22,
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",4,78,0,0
Escapism. - Sped Up,"RAYE, 070 Shake",0,1,0,8
Space Song,Beach House,4,76,0,
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",20,78,0,21
Te Felicito,"Shakira, Rauw Alejandro",9,66,13,1
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",6,7,2,0
TV,Billie Eilish,2,89,0,25
I'm Not The Only One,Sam Smith,3,24,0,30
Heather,Conan Gray,7,1,0,2
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",4,79,0,0
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",10,122,6,
Sugar Rush Ride,TOMORROW X TOGETHER,0,56,0,13
Pink Venom,BLACKPINK,16,119,1,13
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",14,84,0,35
Don't Start Now,Dua Lipa,0,77,3,8
After Dark,Mr.Kitty,14,9,0,0
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",4,64,1,4
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",0,47,0,
MIDDLE OF THE NIGHT,Elley Duhï¿,8,21,1,52
Atlantis,Seafret,6,53,1,32
PUNTO 40,"Baby Rasta, Rauw Alejandro",12,32,2,0
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",0,1,0,0
How Do I Say Goodbye,Dean Lewis,15,97,0,154
Blind,SZA,0,51,0,0
Die For You,Joji,0,45,16,0
Doja,Central Cee,44,44,1,11
Gatita,Bellakath,0,0,0,1
Rumble,"Skrillex, Flowdan, Fred again..",0,45,0,1
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",0,22,0,2
Yonaguni,Bad Bunny,28,86,4,0
Super Freaky Girl,Nicki Minaj,0,17,9,2
