track_name,artists_name,in_spotify_playlists,in_apple_playlists,in_deezer_playlists
Bad Habit,Steve Lacy,8186,155,131
CUFF IT,Beyoncï¿,7842,215,330
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",215,6,8
69,"Nicky Jam, Feid",1134,39,48
Niï¿½ï¿½a Bo,"Sean Paul, Feid",1305,29,43
Search & Rescue,Drake,2066,58,43
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",896,34,33
Lavender Haze,Taylor Swift,3763,51,38
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",197,3,3
Efecto,Bad Bunny,4004,34,43
Erro Gostoso - Ao Vivo,Simone Mendes,984,8,76
Cupido,Tini,1240,51,63
Just Wanna Rock,Lil Uzi Vert,3995,72,47
Unstoppable,Sia,7681,119,"1,145"
Until I Found You,Stephen Sanchez,4427,69,154
Rich Flex,"Drake, 21 Savage",4657,84,42
Easy On Me,Adele,10195,258,657
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",269,7,30
Danger (Spider) (Offset & JID),"Offset, JID",214,3,6
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,845,12,47
The Real Slim Shady,Eminem,20763,81,"3,271"
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",1267,41,56
The Color Violet,Tory Lanez,2585,3,21
Glimpse of Us,Joji,6330,109,158
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",675,9,11
Curtains,Ed Sheeran,715,37,27
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",327,14,9
Haegeum,Agust D,244,6,10
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",385,17,41
MIENTRAS ME CURO DEL CORA,Karol G,1020,15,30
Never Felt So Alone,Labrinth,1730,46,51
X SI VOLVEMOS,"Karol G, Romeo Santos",2127,45,53
ceilings,Lizzy McAlpine,3242,67,48
Cupid,Fifty Fifty,526,15,30
I AM,IVE,366,16,7
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,472,0,6
Shorty Party,"Cartel De Santa, La Kelly",432,8,12
Super,SEVENTEEN,271,16,9
Slut Me Out,NLE Choppa,816,21,13
Double Fantasy (with Future),"The Weeknd, Future",1169,36,28
All Of The Girls You Loved Before,Taylor Swift,1282,26,19
PROVENZA,Karol G,6587,114,147
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",1444,0,0
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",356,4,4
Shivers,Ed Sheeran,10147,234,543
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",265,8,5
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",351,16,10
Komang,Raim Laode,158,5,1
DESPECHï¿,ROSALï¿½,7613,180,422
Made You Look,Meghan Trainor,3956,142,127
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",1638,0,21
No Se Va,Grupo Frontera,924,17,22
Punto G,Quevedo,1985,34,37
Lovers Rock,TV Girl,6339,3,36
METAMORPHOSIS,INTERWORLD,1561,18,24
Mami Chula,"Quevedo, Jhayco",875,17,27
En Paris,"El Chachito, Junior H",406,3,2
Set Me Free Pt.2,Jimin,340,4,16
I Was Never There,"The Weeknd, Gesaffelstein",4188,30,142
Don't ever say love me (feat. RM of BTS),"RM, Colde",105,5,5
Shut Down,BLACKPINK,1524,53,62
Gato de Noche,"Nengo Flow, Bad Bunny",2651,21,32
Call Out My Name,The Weeknd,11087,151,801
Like Crazy (English Version),Jimin,373,4,5
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",200,8,2
Sunroof,"Nicky Youre, Dazy",3741,156,110
